GAME_ID,team,against,s_minutes,s_FGM,s_FGA,s_3PM,s_3PA,s_FTM,s_FTA,s_OREB,s_DREB,s_AST,s_STL,s_BLK,s_TO,s_FOUL,b_FGM,b_FGA,b_3PM,b_3PA,b_FTM,b_FTA,b_OREB,b_DREB,b_AST,b_STL,b_BLK,b_TO,b_FOUL,home_away,PTS_ht,PTS_ht_opp,PTS_final
22300431,SAC,ATL,63.9,11,26,2,13,0,4,2,7,8,2,2,2,4,11,20,5,12,2,2,2,6,9,2,1,4,7,away,53,71,117
22300431,ATL,SAC,84.11666666666666,18,37,7,14,10,13,8,17,16,4,1,4,2,6,12,3,6,3,4,2,2,3,1,1,0,4,home,71,53,110
22300432,BOS,TOR,81.65,19,35,9,15,7,7,2,14,11,2,4,4,3,6,12,2,5,0,0,2,9,7,0,0,2,3,home,68,53,120
22300432,TOR,BOS,86.98333333333333,19,41,6,17,2,2,4,11,6,2,3,3,4,3,11,1,7,0,0,0,5,6,0,0,0,2,away,53,68,118
22300433,CLE,MIL,79.86666666666666,21,35,2,12,4,4,3,14,14,5,4,4,2,5,17,1,10,0,0,1,5,3,1,1,1,5,home,59,52,111
22300433,MIL,CLE,81.86666666666666,16,34,6,10,4,5,3,11,14,2,2,6,5,3,10,2,7,2,2,1,3,1,0,0,5,3,away,52,59,119
22300434,HOU,PHI,81.4,18,34,7,12,5,8,4,8,12,1,0,7,6,6,17,0,2,3,4,8,6,5,4,2,2,6,home,63,62,127
22300434,PHI,HOU,80.88333333333334,20,36,4,11,11,12,2,6,7,4,3,6,8,1,5,0,1,5,5,2,4,0,1,0,1,4,away,62,63,131
22300435,OKC,DEN,74.28333333333333,18,32,3,7,6,6,4,9,11,2,3,4,4,4,14,1,10,0,0,1,10,4,2,1,0,5,away,54,48,119
22300435,DEN,OKC,91.5,16,32,6,18,1,3,1,13,13,1,3,6,5,4,12,1,5,0,0,1,4,4,1,0,2,4,home,48,54,93
22300436,PHX,CHA,81.4,20,28,6,10,8,8,4,10,14,1,4,6,3,4,9,3,6,3,4,1,4,3,2,2,3,2,home,68,58,133
22300436,CHA,PHX,83.48333333333333,16,32,8,15,2,2,2,4,11,2,1,2,4,6,13,4,6,0,0,3,3,5,1,1,3,3,away,58,68,119
22300437,POR,SAS,76.08333333333333,17,33,8,12,6,7,1,15,16,5,1,7,5,9,17,1,4,4,5,4,3,2,2,2,0,3,home,71,56,134
